id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233738,2016-06-12,+28,737,пасмурно,-,ЮЗ 1м/с,+18,736,ясно,-,ЮЗ 1м/с
233738,2016-06-13,+23,736,ясно,-,Ю 3м/с,+21,735,ясно,-,Ю 3м/с
233738,2016-06-14,+19,737,пасмурно,-,ЮВ 3м/с,+17,738,малооблачно,-,ЮВ 3м/с
233738,2016-06-15,+16,739,пасмурно,-,ЮВ 3м/с,+15,739,пасмурно,-,ЮВ 3м/с
233738,2016-06-16,+18,737,пасмурно,-,Ю 1м/с,+16,737,пасмурно,-,Ю 1м/с
233738,2016-06-17,+21,736,малооблачно,-,Ю 1м/с,+16,737,пасмурно,гроза,Ю 1м/с
233738,2016-06-18,+23,736,малооблачно,-,Ш,+21,734,облачно,-,Ш
233738,2016-06-19,+12,734,облачно,-,Ш,+10,735,пасмурно,-,Ш
233738,2016-06-20,+16,738,пасмурно,-,С 3м/с,+14,739,малооблачно,-,С 3м/с
233738,2016-06-21,+14,737,малооблачно,-,Ш,+11,734,пасмурно,-,Ш
233738,2016-06-22,+14,737,пасмурно,-,Ю 1м/с,+14,738,малооблачно,-,Ю 1м/с
233738,2016-06-23,+20,735,пасмурно,-,Ю 1м/с,+18,735,ясно,-,Ю 1м/с
233738,2016-06-24,+15,740,пасмурно,-,З 3м/с,+15,741,ясно,-,З 3м/с
233738,2016-06-25,+23,739,ясно,-,Ю 1м/с,+17,737,пасмурно,-,Ю 1м/с
233738,2016-06-26,+26,734,пасмурно,-,Ш,+19,735,пасмурно,-,Ш
233738,2016-06-27,+18,737,пасмурно,-,З 3м/с,+16,737,ясно,-,З 3м/с
233738,2016-06-28,+20,737,пасмурно,-,С 3м/с,+17,737,малооблачно,-,С 3м/с
233738,2016-06-29,+20,737,пасмурно,-,Ю 1м/с,+16,738,пасмурно,-,Ю 1м/с
233738,2016-06-30,+22,737,ясно,-,Ш,+21,736,ясно,-,Ш
233738,2016-07-01,+29,734,малооблачно,-,В 3м/с,+27,734,ясно,-,В 3м/с
233738,2016-07-02,+29,736,ясно,-,Ю 5м/с,+26,736,ясно,-,Ю 5м/с
233738,2016-07-03,+26,737,пасмурно,-,Ю 5м/с,+23,736,ясно,-,Ю 5м/с
233738,2016-07-04,+28,736,пасмурно,-,Ю 5м/с,+24,736,пасмурно,-,Ю 5м/с
233738,2016-07-05,+20,740,пасмурно,-,Ш,+20,738,малооблачно,-,Ш
233738,2016-07-06,+25,732,малооблачно,-,С 3м/с,+19,734,пасмурно,-,С 3м/с
233738,2016-07-07,+25,736,малооблачно,-,СЗ 3м/с,+21,737,ясно,-,СЗ 3м/с
233738,2016-07-08,+27,737,ясно,-,СЗ 3м/с,+25,736,ясно,-,СЗ 3м/с
233738,2016-07-09,+31,734,малооблачно,-,Ш,+24,732,малооблачно,-,Ш
233738,2016-07-10,+30,727,пасмурно,-,Ю 5м/с,+21,728,пасмурно,-,Ю 5м/с
233738,2016-07-11,+16,726,малооблачно,-,Ш,+10,723,пасмурно,-,Ш
233738,2016-07-12,+16,731,ясно,-,С 3м/с,+14,733,малооблачно,-,С 3м/с
233738,2016-07-13,+14,740,пасмурно,-,Ш,+12,742,пасмурно,-,Ш
233738,2016-07-14,+19,745,ясно,-,Ш,+15,746,ясно,-,Ш
233738,2016-07-15,+23,743,ясно,-,Ю 3м/с,+17,744,пасмурно,-,Ю 3м/с
233738,2016-07-16,+21,738,пасмурно,-,Ш,+17,740,ясно,-,Ш
233738,2016-07-17,+21,740,ясно,-,Ш,+17,740,ясно,-,Ш
233738,2016-07-18,+28,736,ясно,-,Ш,+20,735,малооблачно,-,Ш
233738,2016-07-19,+29,734,пасмурно,-,Ш,+26,734,пасмурно,-,Ш
233738,2016-07-20,+28,739,пасмурно,-,Ш,+22,738,малооблачно,-,Ш
233738,2016-07-21,+24,733,пасмурно,гроза,С 1м/с,+14,735,малооблачно,-,С 1м/с
233738,2016-07-22,+21,739,пасмурно,-,Ш,+19,739,ясно,-,Ш
233738,2016-07-23,+24,737,пасмурно,-,ЮВ 3м/с,+21,737,пасмурно,-,ЮВ 3м/с
